#,s,V vs. Ref.,V,V,bits
228,229.9,5.88E-01,5.88E-01,-3.42E-04,...........
229,230.908,5.88E-01,5.88E-01,-3.37E-04,...........
230,231.917,5.88E-01,5.88E-01,-3.38E-04,...........
231,232.925,5.88E-01,5.88E-01,-3.43E-04,...........
232,233.933,5.88E-01,5.88E-01,-3.45E-04,...........
233,234.942,5.88E-01,5.88E-01,-3.47E-04,...........
234,235.95,5.88E-01,5.88E-01,-3.45E-04,...........
235,236.958,5.88E-01,5.88E-01,-3.44E-04,...........
236,237.967,5.88E-01,5.88E-01,-3.47E-04,...........
237,238.975,5.88E-01,5.88E-01,-3.47E-04,...........
238,239.983,5.88E-01,5.88E-01,-3.46E-04,...........
239,240.992,5.88E-01,5.88E-01,-3.48E-04,...........
240,242,5.88E-01,5.88E-01,-3.41E-04,...........
241,243.008,5.88E-01,5.89E-01,-3.37E-04,...........
242,244.017,5.88E-01,5.89E-01,-3.40E-04,...........
243,245.025,5.88E-01,5.88E-01,-3.42E-04,...........
244,246.033,5.88E-01,5.88E-01,-3.42E-04,...........
245,247.042,5.88E-01,5.88E-01,-3.43E-04,...........
246,248.05,5.88E-01,5.88E-01,-3.47E-04,...........
247,249.058,5.88E-01,5.88E-01,-3.47E-04,...........
248,250.067,5.88E-01,5.88E-01,-3.42E-04,...........
249,251.075,5.88E-01,5.88E-01,-3.41E-04,...........
250,252.083,5.88E-01,5.88E-01,-3.45E-04,...........
251,253.092,5.88E-01,5.88E-01,-3.48E-04,...........
252,254.1,5.88E-01,5.88E-01,-3.41E-04,...........
253,255.108,5.88E-01,5.88E-01,-3.41E-04,...........
254,256.117,5.88E-01,5.88E-01,-3.36E-04,...........
255,257.125,5.88E-01,5.88E-01,-3.35E-04,...........
256,258.133,5.88E-01,5.88E-01,-3.43E-04,...........
257,259.142,5.88E-01,5.88E-01,-3.45E-04,...........
258,260.15,5.88E-01,5.88E-01,-3.44E-04,...........
259,261.158,5.88E-01,5.88E-01,-3.42E-04,...........
260,262.167,5.88E-01,5.88E-01,-3.43E-04,...........
261,263.175,5.88E-01,5.88E-01,-3.45E-04,...........
262,264.183,5.88E-01,5.88E-01,-3.50E-04,...........
263,265.192,5.88E-01,5.88E-01,-3.45E-04,...........
264,266.2,5.88E-01,5.88E-01,-3.43E-04,...........
265,267.208,5.88E-01,5.88E-01,-3.49E-04,...........
266,268.217,5.88E-01,5.88E-01,-3.50E-04,...........
267,269.225,5.88E-01,5.88E-01,-3.48E-04,...........
268,270.233,5.88E-01,5.88E-01,-3.41E-04,...........
269,271.242,5.88E-01,5.88E-01,-3.43E-04,...........
270,272.25,5.88E-01,5.88E-01,-3.45E-04,...........
271,273.258,5.88E-01,5.88E-01,-3.42E-04,...........
272,274.267,5.88E-01,5.88E-01,-3.43E-04,...........
273,275.275,5.88E-01,5.88E-01,-3.44E-04,...........
274,276.283,5.88E-01,5.88E-01,-3.44E-04,...........
275,277.292,5.88E-01,5.88E-01,-3.43E-04,...........
276,278.3,5.88E-01,5.88E-01,-3.41E-04,...........
277,279.308,5.88E-01,5.88E-01,-3.38E-04,...........
278,280.317,5.88E-01,5.88E-01,-3.42E-04,...........
279,281.325,5.88E-01,5.88E-01,-3.44E-04,...........
280,282.333,5.88E-01,5.88E-01,-3.41E-04,...........
281,283.342,5.88E-01,5.88E-01,-3.40E-04,...........
282,284.35,5.88E-01,5.88E-01,-3.40E-04,...........
283,285.358,5.88E-01,5.88E-01,-3.37E-04,...........
284,286.367,5.88E-01,5.88E-01,-3.39E-04,...........
285,287.375,5.88E-01,5.88E-01,-3.40E-04,...........
286,288.383,5.88E-01,5.88E-01,-3.37E-04,...........
287,289.392,5.88E-01,5.88E-01,-3.38E-04,...........
288,290.4,5.88E-01,5.88E-01,-3.39E-04,...........
289,291.408,5.88E-01,5.88E-01,-3.39E-04,...........
290,292.417,5.88E-01,5.88E-01,-3.43E-04,...........
291,293.425,5.88E-01,5.88E-01,-3.46E-04,...........
292,294.433,5.88E-01,5.88E-01,-3.47E-04,...........
293,295.442,5.88E-01,5.88E-01,-3.45E-04,...........
294,296.45,5.88E-01,5.88E-01,-3.47E-04,...........
295,297.458,5.88E-01,5.88E-01,-3.47E-04,...........
296,298.467,5.88E-01,5.88E-01,-3.45E-04,...........
297,299.475,5.88E-01,5.88E-01,-3.41E-04,...........
298,300.483,5.88E-01,5.88E-01,-3.47E-04,...........
299,301.492,5.88E-01,5.88E-01,-3.43E-04,...........
300,302.5,5.88E-01,5.88E-01,-3.48E-04,...........
301,303.508,5.88E-01,5.88E-01,-3.49E-04,...........
302,304.517,5.88E-01,5.88E-01,-3.52E-04,...........
303,305.525,5.88E-01,5.88E-01,-3.44E-04,...........
304,306.533,5.88E-01,5.88E-01,-3.45E-04,...........
305,307.542,5.88E-01,5.88E-01,-3.47E-04,...........
306,308.55,5.88E-01,5.89E-01,-3.49E-04,...........
307,309.558,5.88E-01,5.89E-01,-3.52E-04,...........
308,310.567,5.88E-01,5.89E-01,-3.53E-04,...........
309,311.575,5.89E-01,5.89E-01,-3.54E-04,...........
310,312.583,5.89E-01,5.89E-01,-3.47E-04,...........
311,313.592,5.89E-01,5.89E-01,-3.50E-04,...........
312,314.6,5.89E-01,5.89E-01,-3.51E-04,...........
313,315.608,5.89E-01,5.89E-01,-3.51E-04,...........
314,316.617,5.89E-01,5.89E-01,-3.49E-04,...........
315,317.625,5.89E-01,5.89E-01,-3.54E-04,...........
316,318.633,5.89E-01,5.89E-01,-3.48E-04,...........
317,319.642,5.89E-01,5.89E-01,-3.45E-04,...........
318,320.65,5.89E-01,5.89E-01,-3.51E-04,...........
319,321.658,5.89E-01,5.89E-01,-3.49E-04,...........
320,322.667,5.89E-01,5.89E-01,-3.52E-04,...........
321,323.675,5.89E-01,5.89E-01,-3.49E-04,...........
322,324.683,5.89E-01,5.89E-01,-3.51E-04,...........
323,325.692,5.89E-01,5.89E-01,-3.49E-04,...........
324,326.7,5.89E-01,5.89E-01,-3.52E-04,...........
325,327.708,5.89E-01,5.89E-01,-3.53E-04,...........
326,328.717,5.89E-01,5.89E-01,-3.54E-04,...........
327,329.725,5.89E-01,5.89E-01,-3.56E-04,...........
328,330.733,5.89E-01,5.89E-01,-3.59E-04,...........
329,331.742,5.89E-01,5.89E-01,-3.55E-04,...........
330,332.75,5.89E-01,5.89E-01,-3.51E-04,...........
331,333.758,5.89E-01,5.89E-01,-3.49E-04,...........
332,334.767,5.89E-01,5.89E-01,-3.52E-04,...........
333,335.775,5.89E-01,5.89E-01,-3.58E-04,...........
334,336.783,5.89E-01,5.89E-01,-3.51E-04,...........
335,337.792,5.89E-01,5.89E-01,-3.54E-04,...........
336,338.8,5.89E-01,5.89E-01,-3.55E-04,...........
337,339.808,5.89E-01,5.89E-01,-3.56E-04,...........
338,340.817,5.89E-01,5.89E-01,-3.55E-04,...........
339,341.825,5.89E-01,5.88E-01,-3.55E-04,...........
340,342.833,5.89E-01,5.88E-01,-3.57E-04,...........
341,343.842,5.89E-01,5.88E-01,-3.54E-04,...........
342,344.85,5.89E-01,5.88E-01,-3.60E-04,...........
343,345.858,5.88E-01,5.88E-01,-3.52E-04,...........
344,346.867,5.88E-01,5.88E-01,-3.58E-04,...........
345,347.875,5.88E-01,5.87E-01,-3.61E-04,...........
346,348.883,5.88E-01,5.87E-01,-3.61E-04,...........
347,349.892,5.88E-01,5.87E-01,-3.64E-04,...........
348,350.9,5.87E-01,5.87E-01,-3.63E-04,...........
349,351.908,5.87E-01,5.87E-01,-3.57E-04,...........
350,352.917,5.87E-01,5.86E-01,-3.63E-04,...........
351,353.925,5.87E-01,5.86E-01,-3.55E-04,...........
352,354.933,5.87E-01,5.86E-01,-3.61E-04,...........
353,355.942,5.86E-01,5.86E-01,-3.59E-04,...........
354,356.95,5.86E-01,5.86E-01,-3.65E-04,...........
355,357.958,5.86E-01,5.86E-01,-3.64E-04,...........
356,358.967,5.86E-01,5.86E-01,-3.66E-04,...........
357,359.975,5.86E-01,5.86E-01,-3.70E-04,...........
358,360.983,5.86E-01,5.85E-01,-3.62E-04,...........
359,361.992,5.86E-01,5.85E-01,-3.67E-04,...........
360,363,5.86E-01,5.85E-01,-3.63E-04,...........
361,364.008,5.85E-01,5.85E-01,-3.66E-04,...........
362,365.017,5.85E-01,5.85E-01,-3.64E-04,...........
363,366.025,5.85E-01,5.85E-01,-3.65E-04,...........
364,367.033,5.85E-01,5.85E-01,-3.64E-04,...........
365,368.042,5.85E-01,5.85E-01,-3.64E-04,...........
366,369.05,5.85E-01,5.85E-01,-3.64E-04,...........
367,370.058,5.85E-01,5.85E-01,-3.62E-04,...........
368,371.067,5.85E-01,5.84E-01,-3.67E-04,...........
369,372.075,5.85E-01,5.84E-01,-3.65E-04,...........
370,373.083,5.85E-01,5.84E-01,-3.59E-04,...........
371,374.092,5.84E-01,5.84E-01,-3.63E-04,...........
372,375.1,5.84E-01,5.84E-01,-3.61E-04,...........
373,376.108,5.84E-01,5.84E-01,-3.60E-04,...........
374,377.117,5.84E-01,5.84E-01,-3.68E-04,...........
375,378.125,5.84E-01,5.84E-01,-3.60E-04,...........
376,379.133,5.84E-01,5.84E-01,-3.58E-04,...........
377,380.142,5.84E-01,5.84E-01,-3.53E-04,...........
378,381.15,5.84E-01,5.84E-01,-3.55E-04,...........
379,382.158,5.84E-01,5.84E-01,-3.55E-04,...........
380,383.167,5.84E-01,5.84E-01,-3.58E-04,...........
381,384.175,5.84E-01,5.83E-01,-3.57E-04,...........
382,385.183,5.84E-01,5.83E-01,-3.51E-04,...........
383,386.192,5.84E-01,5.83E-01,-3.59E-04,...........
384,387.2,5.83E-01,5.83E-01,-3.56E-04,...........
385,388.208,5.83E-01,5.83E-01,-3.60E-04,...........
386,389.217,5.83E-01,5.83E-01,-3.63E-04,...........
387,390.225,5.83E-01,5.83E-01,-3.66E-04,...........
388,391.233,5.83E-01,5.83E-01,-3.59E-04,...........
389,392.242,5.83E-01,5.83E-01,-3.59E-04,...........
390,393.25,5.83E-01,5.83E-01,-3.60E-04,...........
391,394.258,5.83E-01,5.83E-01,-3.64E-04,...........
392,395.267,5.83E-01,5.83E-01,-3.57E-04,...........
393,396.275,5.83E-01,5.83E-01,-3.56E-04,...........
394,397.283,5.83E-01,5.83E-01,-3.59E-04,...........
395,398.292,5.83E-01,5.83E-01,-3.56E-04,...........
396,399.3,5.83E-01,5.83E-01,-3.63E-04,...........
397,400.308,5.83E-01,5.83E-01,-3.59E-04,...........
398,401.317,5.83E-01,5.83E-01,-3.60E-04,...........
399,402.325,5.83E-01,5.83E-01,-3.54E-04,...........
400,403.333,5.83E-01,5.83E-01,-3.58E-04,...........
401,404.342,5.83E-01,5.83E-01,-3.54E-04,...........
402,405.35,5.83E-01,5.83E-01,-3.58E-04,...........
403,406.358,5.83E-01,5.83E-01,-3.63E-04,...........
404,407.367,5.83E-01,5.82E-01,-3.64E-04,...........
405,408.375,5.83E-01,5.82E-01,-3.64E-04,...........
406,409.383,5.83E-01,5.82E-01,-3.61E-04,...........
407,410.392,5.82E-01,5.82E-01,-3.60E-04,...........
408,411.4,5.82E-01,5.82E-01,-3.59E-04,...........
409,412.408,5.82E-01,5.82E-01,-3.55E-04,...........
410,413.417,5.82E-01,5.82E-01,-3.55E-04,...........
411,414.425,5.82E-01,5.82E-01,-3.57E-04,...........
412,415.433,5.82E-01,5.82E-01,-3.60E-04,...........
413,416.442,5.82E-01,5.82E-01,-3.61E-04,...........
414,417.45,5.82E-01,5.82E-01,-3.63E-04,...........
415,418.458,5.82E-01,5.82E-01,-3.61E-04,...........
416,419.467,5.82E-01,5.82E-01,-3.59E-04,...........
417,420.475,5.82E-01,5.82E-01,-3.66E-04,...........
418,421.483,5.82E-01,5.82E-01,-3.58E-04,...........
419,422.492,5.82E-01,5.82E-01,-3.57E-04,...........
420,423.5,5.82E-01,5.82E-01,-3.57E-04,...........
421,424.508,5.82E-01,5.82E-01,-3.53E-04,...........
422,425.517,5.82E-01,5.82E-01,-3.53E-04,...........
423,426.525,5.82E-01,5.82E-01,-3.55E-04,...........
424,427.533,5.82E-01,5.82E-01,-3.54E-04,...........
425,428.542,5.82E-01,5.82E-01,-3.56E-04,...........
426,429.55,5.82E-01,5.82E-01,-3.55E-04,...........
427,430.558,5.82E-01,5.82E-01,-3.54E-04,...........
428,431.567,5.82E-01,5.82E-01,-3.58E-04,...........
429,432.575,5.82E-01,5.82E-01,-3.57E-04,...........
430,433.583,5.82E-01,5.82E-01,-3.58E-04,...........
431,434.592,5.82E-01,5.82E-01,-3.55E-04,...........
432,435.6,5.82E-01,5.82E-01,-3.55E-04,...........
433,436.608,5.82E-01,5.82E-01,-3.63E-04,...........
434,437.617,5.82E-01,5.82E-01,-3.56E-04,...........
435,438.625,5.82E-01,5.82E-01,-3.56E-04,...........
436,439.633,5.82E-01,5.82E-01,-3.53E-04,...........
437,440.642,5.82E-01,5.82E-01,-3.55E-04,...........
438,441.65,5.82E-01,5.82E-01,-3.59E-04,...........
439,442.658,5.82E-01,5.82E-01,-3.61E-04,...........
440,443.667,5.82E-01,5.81E-01,-3.59E-04,...........
441,444.675,5.82E-01,5.81E-01,-3.51E-04,...........
442,445.683,5.82E-01,5.81E-01,-3.57E-04,...........
443,446.692,5.81E-01,5.81E-01,-3.55E-04,...........
444,447.7,5.81E-01,5.81E-01,-3.63E-04,...........
445,448.708,5.81E-01,5.81E-01,-3.53E-04,...........
446,449.717,5.81E-01,5.81E-01,-3.56E-04,...........
447,450.725,5.81E-01,5.81E-01,-3.55E-04,...........
